Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Tion_Frey:'siblings':['Cleos_Frey', 'Lyonel_Frey']| 'fmc':[['Emmon_Frey', 'Genna_Lannister'], []]| 'love':[]
Tion_Lannister:'siblings':['Tywald_Lannister', 'Tytos_Lannister', 'Jason_Lannister_(son_of_Gerold)']| 'fmc':[['Gerold_Lannister', 'Rohanne_Webber'], []]| 'love':['Ellyn_Reyne']
Tion_Tarbeck:'siblings':['Rohanne_Tarbeck', 'Cyrelle_Tarbeck']| 'fmc':[['Walderan_Tarbeck', 'Ellyn_Reyne'], []]| 'love':[]
Titus_Peake:'siblings':[]| 'fmc':[[], []]| 'love':['Margot_Lannister']
Tobho_Mott:'siblings':[]| 'fmc':[[], []]| 'love':[]
Todder:'siblings':[]| 'fmc':[[], []]| 'love':[]
Todric:'siblings':[]| 'fmc':[[], []]| 'love':[]
Togarion_Bar_Emmon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tom_Codd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tom_Costayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tom_Flowers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tom_of_Sevenstreams:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tomard:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tommen_Costayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tommen_I_Baratheon:'siblings':['Joffrey_I_Baratheon', 'Myrcella_Baratheon']| 'fmc':[['Robert_I_Baratheon', 'Jaime_Lannister', 'Cersei_Lannister'], []]| 'love':['Margaery_Tyrell']
Tommen_I_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tommen_II_Lannister:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tommen_Tully:'siblings':[]| 'fmc':[[], ['Samwell_Rivers']]| 'love':[]
Torghen_Flint:'siblings':[]| 'fmc':[[], ['Donnel_Flint', 'Artos_Flint']]| 'love':[]
Torgon_Greyiron:'siblings':[]| 'fmc':[['Urragon_III_Greyiron'], ['Urragon_IV_Greyiron']]| 'love':[]
Torrhen_Karstark:'siblings':['Harrion_Karstark', 'Eddard_Karstark', 'Alys_Karstark']| 'fmc':[['Rickard_Karstark'], []]| 'love':[]
Torrhen_Stark_(Son_of_Edric):'siblings':['Cregard_Stark', 'Arrana_Stark', 'Aregelle_Stark']| 'fmc':[['Edric_Stark_(Son_of_Cregan)', 'Serena_Stark'], []]| 'love':[]
Torwyn_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Torwynd:'siblings':['Dormund', 'Munda', 'Dryn']| 'fmc':[['Tormund'], []]| 'love':[]
Simon_Toyne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tregar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tristifer_Botley:'siblings':['Harren_Botley', 'Symond_Botley', 'Harlon_Botley', 'Vickon_Botley', 'Bennarion_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Triston_Farwynd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Triston_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Triston_of_Tally_Hill:'siblings':[]| 'fmc':[[], []]| 'love':[]
Trystane_Martell:'siblings':['Arianne_Martell', 'Quentyn_Martell']| 'fmc':[['Doran_Martell', 'Mellario_of_Norvos'], []]| 'love':[]
Edmure_Tully:'siblings':['Catelyn_Stark', 'Lysa_Arryn']| 'fmc':[['Hoster_Tully', 'Minisa_Tully'], []]| 'love':['Roslin_Frey']
Hoster_Tully:'siblings':['Brynden_Tully']| 'fmc':[[], ['Catelyn_Stark', 'Lysa_Arryn', 'Edmure_Tully']]| 'love':['Minisa_Tully']
Turnip:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tyana_Wylde:'siblings':[]| 'fmc':[[], ['Rhaegar_Frey']]| 'love':['Aenys_Frey']
Tybolt_Crakehall:'siblings':['Lyle_Crakehall', 'Merlon_Crakehall']| 'fmc':[['Roland_Crakehall'], []]| 'love':[]
Tybolt_Lannister:'siblings':['Gerold_Lannister']| 'fmc':[['Damon_Lannister_(lord)', 'Cerissa_Lannister'], ['Cerelle_Lannister']]| 'love':['Teora_Kyndall']
Tyene_Sand:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tyler_Hill:'siblings':[]| 'fmc':[['Lyman_Lannister'], []]| 'love':[]
Margaery_Tyrell:'siblings':['Willas_Tyrell', 'Garlan_Tyrell', 'Loras_Tyrell']| 'fmc':[['Mace_Tyrell', 'Alerie_Hightower'], []]| 'love':['Renly_Baratheon', 'Joffrey_I_Baratheon', 'Tommen_I_Baratheon']
Tyrion_Lannister:'siblings':['Cersei_Lannister', 'Jaime_Lannister']| 'fmc':[['Tywin_Lannister', 'Joanna_Lannister'], []]| 'love':['Tysha', 'Sansa_Stark']
Tyrion_Tanner:'siblings':[]| 'fmc':[['Lollys_Stokeworth'], []]| 'love':[]
Tysane_Frey:'siblings':['Walda_Frey_(daughter_of_Lothar)', 'Emberlei_Frey', 'Leana_Frey']| 'fmc':[['Lothar_Frey', 'Leonella_Lefford'], []]| 'love':[]
Tysha:'siblings':[]| 'fmc':[[], []]| 'love':[]
Tyta_Frey:'siblings':['Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey']| 'fmc':[['Walder_Frey', 'Alyssa_Blackwood'], []]| 'love':[]
Tytos_Blackwood:'siblings':[]| 'fmc':[[], ['Lucas_Blackwood', 'Hoster_Blackwood']]| 'love':[]
Tytos_Brax:'siblings':['Robert_Brax', 'Flement_Brax']| 'fmc':[['Andros_Brax'], []]| 'love':[]
Tywald_Lannister:'siblings':['Tion_Lannister', 'Tytos_Lannister', 'Jason_Lannister_(son_of_Gerold)']| 'fmc':[['Gerold_Lannister', 'Rohanne_Webber'], []]| 'love':[]
Tywin_Frey:'siblings':['Willem_Frey']| 'fmc':[['Cleos_Frey', 'Jeyne_Darry'], []]| 'love':[]
Ulf_the_White:'siblings':[]| 'fmc':[[], []]| 'love':[]
Uller:'siblings':[]| 'fmc':[[], []]| 'love':[]
Umfred:'siblings':[]| 'fmc':[[], []]| 'love':[]
Umma:'siblings':[]| 'fmc':[[], []]| 'love':[]
Urragon_III_Greyiron:'siblings':[]| 'fmc':[[], ['Torgon_Greyiron']]| 'love':[]
Urragon_IV_Greyiron:'siblings':[]| 'fmc':[['Torgon_Greyiron'], []]| 'love':[]
Urras_Greyiron:'siblings':[]| 'fmc':[[], ['Erich_I_Greyiron']]| 'love':[]
Urrathon_IV_Goodbrother:'siblings':[]| 'fmc':[[], []]| 'love':[]
Urrigon_Greyjoy:'siblings':['Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Balon_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Urron_Greyiron:'siblings':[]| 'fmc':[[], []]| 'love':[]
Urswyck:'siblings':[]| 'fmc':[[], []]| 'love':[]
Uther_Peake:'siblings':[]| 'fmc':[[], []]| 'love':['Prunella_Celtigar']
Utherydes_Wayn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Uthor_of_the_High_Tower:'siblings':[]| 'fmc':[[], ['Peremore_Hightower']]| 'love':['Maris_the_Maid']
Utt:'siblings':[]| 'fmc':[[], []]| 'love':[]
Vaegon_Targaryen:'siblings':['Aegon_Targaryen_(son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(daughter_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Daella_Targaryen_(daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Vaellyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Valaena_Velaryon:'siblings':[]| 'fmc':[[], ['Aegon_I_Targaryen', 'Rhaenys_Targaryen', 'Visenya_Targaryen']]| 'love':['Aerion_Targaryen_(son_of_Daemion)']
Valerion_Targaryen:'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Varamyr:'siblings':['Meha', 'Bump']| 'fmc':[[], []]| 'love':[]
Vardis_Egen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Vargo_Hoat:'siblings':[]| 'fmc':[[], []]| 'love':[]
Varly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Varys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Vayon_Poole:'siblings':[]| 'fmc':[[], ['Jeyne_Poole']]| 'love':[]
Veron_Greyjoy:'siblings':['Dalton_Greyjoy']| 'fmc':[[], []]| 'love':[]
Vickon_Botley:'siblings':['Harren_Botley', 'Tristifer_Botley', 'Symond_Botley', 'Harlon_Botley', 'Bennarion_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Victaria_Tyrell:'siblings':['Leo_Tyrell_(son_of_Victor)']| 'fmc':[['Victor_Tyrell'], ['Alysanne_Bulwer']]| 'love':['Jon_Bulwer']
Victarion_Greyjoy:'siblings':['Balon_Greyjoy', 'Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Euron_Greyjoy', 'Urrigon_Greyjoy', 'Aeron_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Victor_the_Valiant:'siblings':[]| 'fmc':[[], []]| 'love':[]
Victor_Tyrell:'siblings':[]| 'fmc':[[], ['Victaria_Tyrell', 'Leo_Tyrell_(son_of_Victor)']]| 'love':[]
Visenya_Targaryen:'siblings':['Aegon_I_Targaryen', 'Rhaenys_Targaryen_(daughter_of_Aerion)']| 'fmc':[['Aerion_Targaryen_(son_of_Daemion)', 'Valaena_Velaryon'], ['Maegor_I_Targaryen']]| 'love':['Aegon_I_Targaryen']
Viserra_Targaryen:'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Gaemon_Targaryen_(son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Viserys_II_Targaryen:'siblings':['Jacaerys_Velaryon', 'Lucerys_Velaryon', 'Joffrey_Velaryon', 'Baela_Targaryen', 'Rhaena_Targaryen_(daughter_of_Laena_Velaryon)', 'Aegon_III_Targaryen', 'Visenya_Targaryen_(daughter_of_Rhaenyra)']| 'fmc':[['Daemon_Targaryen', 'Rhaenyra_Targaryen'], ['Aegon_IV_Targaryen', 'Aemon_Targaryen_(the_Dragonknight)', 'Naerys_Targaryen']]| 'love':['Larra_Rogare']
Viserys_III_Targaryen:'siblings':['Rhaegar_Targaryen', 'Daenerys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], []]| 'love':[]
Viserys_Targaryen_(Son_of_Aenys_I):'siblings':['Rhaena_Targaryen_(Daughter_of_Aenys_I)', 'Aegon_Targaryen_(Son_of_Aenys_I)', 'Jaehaerys_I_Targaryen', 'Alysanne_Targaryen']| 'fmc':[['Aenys_I_Targaryen', 'Alyssa_Velaryon'], []]| 'love':[]
Vorian_Dayne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Vortimer_Crane:'siblings':[]| 'fmc':[[], []]| 'love':[]
Waif:'siblings':[]| 'fmc':[[], []]| 'love':[]
Walda_Frey_(daughter_of_Lothar):'siblings':['Tysane_Frey', 'Emberlei_Frey', 'Leana_Frey']| 'fmc':[['Lothar_Frey', 'Leonella_Lefford'], []]| 'love':[]
Walda_Frey_(daughter_of_Merrett):'siblings':['Amerei_Frey', 'Walder_Frey_(son_of_Merrett)']| 'fmc':[['Merrett_Frey', 'Mariya_Darry'], []]| 'love':['Roose_Bolton']
Walda_Frey_(daughter_of_Rhaegar):'siblings':['Robert_Frey_(son_of_Rhaegar)', 'Jonos_Frey']| 'fmc':[['Rhaegar_Frey', 'Jeyne_Beesbury'], []]| 'love':[]
Walda_Frey_(daughter_of_Walton):'siblings':['Steffon_Frey', 'Bryan_Frey']| 'fmc':[['Walton_Frey', 'Deana_Hardyng'], []]| 'love':[]
Walder_Brax:'siblings':['Robert_Brax_(son_of_Flement)', 'Jon_Brax']| 'fmc':[['Flement_Brax', 'Morya_Frey'], []]| 'love':[]
Walder_Frey:'siblings':[]| 'fmc':[[], ['Stevron_Frey', 'Emmon_Frey', 'Aenys_Frey', 'Perriane_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Benfrey_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers']]| 'love':['Perra_Royce', 'Cyrenna_Swann', 'Amarei_Crakehall', 'Alyssa_Blackwood', 'Sarya_Whent', 'Bethany_Rosby', 'Annara_Farring', 'Joyeuse_Erenford']
Walder_Frey_(Black):'siblings':['Edwyn_Frey']| 'fmc':[['Ryman_Frey'], []]| 'love':[]
Walder_Frey_(son_of_Emmon):'siblings':['Cleos_Frey', 'Lyonel_Frey', 'Tion_Frey']| 'fmc':[['Emmon_Frey', 'Genna_Lannister'], []]| 'love':[]
Walder_Frey_(son_of_Jammos):'siblings':['Dickon_Frey', 'Mathis_Frey']| 'fmc':[['Jammos_Frey', 'Sallei_Paege'], []]| 'love':[]
Walder_Frey_(son_of_Merrett):'siblings':['Amerei_Frey', 'Walda_Frey_(daughter_of_Merrett)']| 'fmc':[['Merrett_Frey', 'Mariya_Darry'], []]| 'love':[]
Walder_Goodbrook:'siblings':['Jeyne_Goodbrook']| 'fmc':[['Garse_Goodbrook', 'Kyra_Frey'], []]| 'love':[]
Walder_Haigh:'siblings':[]| 'fmc':[['Harys_Haigh'], []]| 'love':[]
Walder_Rivers:'siblings':['Stevron_Frey', 'Aenys_Frey', 'Merrett_Frey', 'Olyvar_Frey', 'Roslin_Frey']| 'fmc':[['Walder_Frey'], []]| 'love':[]
Walderan_Tarbeck:'siblings':[]| 'fmc':[[], ['Rohanne_Tarbeck', 'Cyrelle_Tarbeck', 'Tion_Tarbeck']]| 'love':['Ellyn_Reyne']
Waldon_Wynch:'siblings':[]| 'fmc':[[], []]| 'love':[]
Walgrave:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wallace_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wallen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Walter_Whent:'siblings':['Oswell_Whent']| 'fmc':[[], []]| 'love':['Shella_Whent']
Walter_Wyl:'siblings':[]| 'fmc':[[], []]| 'love':[]
Walton_Frey:'siblings':['Ryman_Frey', 'Aegon_Frey']| 'fmc':[['Stevron_Frey', 'Marsella_Waynwood'], ['Steffon_Frey', 'Walda_Frey_(daughter_of_Walton)', 'Bryan_Frey']]| 'love':['Deana_Hardyng']
Walton_Stark_(Son_of_Brandon):'siblings':['Alaric_Stark']| 'fmc':[['Brandon_Stark_(Father_of_Walton)'], []]| 'love':[]
Walton_Towers:'siblings':[]| 'fmc':[[], []]| 'love':[]
Waltyr_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Walys_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Watt_of_Long_Lake:'siblings':[]| 'fmc':[[], []]| 'love':[]
Waymar_Royce:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wayn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Weeper:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wendamyr:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wendel_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wendel_Manderly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wex_Pyke:'siblings':[]| 'fmc':[['Sargon_Botley'], []]| 'love':[]
Whalen_Frey:'siblings':['Lothar_Frey', 'Jammos_Frey', 'Morya_Frey', 'Tyta_Frey']| 'fmc':[['Walder_Frey', 'Alyssa_Blackwood'], ['Hoster_Frey', 'Merianne_Frey']]| 'love':['Sylwa_Paege']
Wick_Whittlestick:'siblings':[]| 'fmc':[[], []]| 'love':[]
Will:'siblings':[]| 'fmc':[[], []]| 'love':[]
Will_Humble:'siblings':[]| 'fmc':[[], []]| 'love':[]
Willamen_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Willas_Tyrell:'siblings':['Garlan_Tyrell', 'Loras_Tyrell', 'Margaery_Tyrell']| 'fmc':[['Mace_Tyrell', 'Alerie_Hightower'], []]| 'love':[]
Willem_Darry:'siblings':[]| 'fmc':[[], []]| 'love':[]
Willem_Frey:'siblings':['Tywin_Frey']| 'fmc':[['Cleos_Frey', 'Jeyne_Darry'], []]| 'love':[]
Willem_Lannister:'siblings':['Lancel_Lannister', 'Martyn_Lannister', 'Janei_Lannister']| 'fmc':[['Kevan_Lannister', 'Dorna_Swyft'], []]| 'love':[]
William_Mooton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Willis_Wode:'siblings':[]| 'fmc':[[], []]| 'love':[]
Willow_(daughter_of_Aegon_IV):'siblings':[]| 'fmc':[[], []]| 'love':[]
Wineseller:'siblings':[]| 'fmc':[[], []]| 'love':[]
Woth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wulfgar_Hoare:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wyl_of_Wyl:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wylis_Manderly:'siblings':['Wendel_Manderly']| 'fmc':[['Wyman_Manderly'], ['Wynafryd_Manderly', 'Wylla_Manderly']]| 'love':['Leona_Woolfield']
Wylla:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wylla_Fenn:'siblings':[]| 'fmc':[[], ['Lonnel_Snow']]| 'love':['Brandon_Stark_(Son_of_Cregan)']
Wylla_Manderly:'siblings':['Wynafryd_Manderly']| 'fmc':[['Wylis_Manderly', 'Leona_Woolfield'], []]| 'love':[]
Wyman_Manderly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Wynafrei_Whent:'siblings':[]| 'fmc':[[], []]| 'love':['Danwell_Frey']
Wynafryd_Manderly:'siblings':['Wylla_Manderly']| 'fmc':[['Wylis_Manderly', 'Leona_Woolfield'], []]| 'love':['Rhaegar_Frey']
Wynton_Stout:'siblings':[]| 'fmc':[[], []]| 'love':[]
Xaro_Xhoan_Daxos:'siblings':[]| 'fmc':[[], []]| 'love':[]
Yandry:'siblings':[]| 'fmc':[[], []]| 'love':['Ysilla']
Ygon_Farwynd:'siblings':['Gyles_Farwynd', 'Yohn_Farwynd']| 'fmc':[['Gylbert_Farwynd'], []]| 'love':[]
Ygritte:'siblings':[]| 'fmc':[[], []]| 'love':['Jon_Snow']
Yohn_Farwynd:'siblings':[]| 'fmc':[[], []]| 'love':[]
Yohn_Royce:'siblings':[]| 'fmc':[[], ['Andar_Royce', 'Robar_Royce', 'Waymar_Royce', 'Ysilla_Royce']]| 'love':[]
Yorbert_Royce:'siblings':[]| 'fmc':[[], []]| 'love':[]
Yoren:'siblings':[]| 'fmc':[[], []]| 'love':[]
Yorko_Terys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ysabel:'siblings':[]| 'fmc':[[], []]| 'love':[]
Ysilla:'siblings':[]| 'fmc':[[], []]| 'love':['Yandry']
Ysilla_Royce:'siblings':['Andar_Royce', 'Robar_Royce', 'Waymar_Royce']| 'fmc':[['Yohn_Royce'], []]| 'love':[]
Zollo:'siblings':[]| 'fmc':[[], []]| 'love':[]
